nome;ID_aluno;dominio;email
EDMILSON;176;@dominiodoemail.com.br;edmilson@dominiodoemail.com.br
JOSUE;5;@servicodoemail.com;josue@servicodoemail.com
GERSON;160;@dominiodoemail.com.br;gerson@dominiodoemail.com.br
CAUA;368;@dominiodoemail.com.br;caua@dominiodoemail.com.br
SIDNEI;182;@dominiodoemail.com.br;sidnei@dominiodoemail.com.br
EMANUEL;144;@dominiodoemail.com.br;emanuel@dominiodoemail.com.br
VALDEMAR;386;@servicodoemail.com;valdemar@servicodoemail.com
JAIME;153;@servicodoemail.com;jaime@servicodoemail.com
EDIVALDO;81;@servicodoemail.com;edivaldo@servicodoemail.com
ARNALDO;118;@servicodoemail.com;arnaldo@servicodoemail.com
MOACIR;157;@dominiodoemail.com.br;moacir@dominiodoemail.com.br
DAMIAO;247;@dominiodoemail.com.br;damiao@dominiodoemail.com.br
ISMAEL;202;@dominiodoemail.com.br;ismael@dominiodoemail.com.br
NIVALDO;308;@servicodoemail.com;nivaldo@servicodoemail.com
JAIRO;105;@servicodoemail.com;jairo@servicodoemail.com
ISAIAS;62;@dominiodoemail.com.br;isaias@dominiodoemail.com.br
MICHEL;109;@servicodoemail.com;michel@servicodoemail.com
ANGELO;128;@dominiodoemail.com.br;angelo@dominiodoemail.com.br
CRISTIAN;82;@dominiodoemail.com.br;cristian@dominiodoemail.com.br
WELLINGTON;394;@dominiodoemail.com.br;wellington@dominiodoemail.com.br
ALEXANDRO;243;@dominiodoemail.com.br;alexandro@dominiodoemail.com.br
VALDEMIR;45;@servicodoemail.com;valdemir@servicodoemail.com
WANDERSON;165;@dominiodoemail.com.br;wanderson@dominiodoemail.com.br
JAILSON;314;@dominiodoemail.com.br;jailson@dominiodoemail.com.br
DENIS;90;@dominiodoemail.com.br;denis@dominiodoemail.com.br
RIAN;317;@dominiodoemail.com.br;rian@dominiodoemail.com.br
CELIO;375;@dominiodoemail.com.br;celio@dominiodoemail.com.br
CLAUDINEI;353;@servicodoemail.com;claudinei@servicodoemail.com
DENILSON;250;@servicodoemail.com;denilson@servicodoemail.com
IAGO;299;@dominiodoemail.com.br;iago@dominiodoemail.com.br
EDER;167;@dominiodoemail.com.br;eder@dominiodoemail.com.br
YURI;168;@dominiodoemail.com.br;yuri@dominiodoemail.com.br
CHARLES;389;@dominiodoemail.com.br;charles@dominiodoemail.com.br
MARLON;8;@servicodoemail.com;marlon@servicodoemail.com
ALISON;282;@servicodoemail.com;alison@servicodoemail.com
JONATAN;116;@dominiodoemail.com.br;jonatan@dominiodoemail.com.br
ERIC;319;@servicodoemail.com;eric@servicodoemail.com
ELTON;229;@dominiodoemail.com.br;elton@dominiodoemail.com.br
VALDECIR;369;@dominiodoemail.com.br;valdecir@dominiodoemail.com.br
WESLEI;137;@dominiodoemail.com.br;weslei@dominiodoemail.com.br
NATANAEL;346;@servicodoemail.com;natanael@servicodoemail.com
ERICK;264;@dominiodoemail.com.br;erick@dominiodoemail.com.br
AGNALDO;237;@servicodoemail.com;agnaldo@servicodoemail.com
KAUAN;146;@dominiodoemail.com.br;kauan@dominiodoemail.com.br
ODAIR;277;@servicodoemail.com;odair@servicodoemail.com
WALTER;227;@dominiodoemail.com.br;walter@dominiodoemail.com.br
ARLINDO;222;@dominiodoemail.com.br;arlindo@dominiodoemail.com.br
MICHAEL;50;@servicodoemail.com;michael@servicodoemail.com
ALVARO;38;@servicodoemail.com;alvaro@servicodoemail.com
GEOVANE;35;@dominiodoemail.com.br;geovane@dominiodoemail.com.br
MARIA;331;@servicodoemail.com;maria@servicodoemail.com
ANA;24;@dominiodoemail.com.br;ana@dominiodoemail.com.br
FRANCISCA;205;@dominiodoemail.com.br;francisca@dominiodoemail.com.br
ANTONIA;382;@dominiodoemail.com.br;antonia@dominiodoemail.com.br
ADRIANA;230;@dominiodoemail.com.br;adriana@dominiodoemail.com.br
JULIANA;11;@dominiodoemail.com.br;juliana@dominiodoemail.com.br
MARCIA;67;@dominiodoemail.com.br;marcia@dominiodoemail.com.br
FERNANDA;29;@servicodoemail.com;fernanda@servicodoemail.com
PATRICIA;208;@servicodoemail.com;patricia@servicodoemail.com
ALINE;390;@dominiodoemail.com.br;aline@dominiodoemail.com.br
SANDRA;125;@servicodoemail.com;sandra@servicodoemail.com
CAMILA;219;@servicodoemail.com;camila@servicodoemail.com
AMANDA;162;@dominiodoemail.com.br;amanda@dominiodoemail.com.br
BRUNA;195;@servicodoemail.com;bruna@servicodoemail.com
JESSICA;138;@servicodoemail.com;jessica@servicodoemail.com
LETICIA;293;@dominiodoemail.com.br;leticia@dominiodoemail.com.br
JULIA;224;@servicodoemail.com;julia@servicodoemail.com
LUCIANA;113;@dominiodoemail.com.br;luciana@dominiodoemail.com.br
VANESSA;70;@servicodoemail.com;vanessa@servicodoemail.com
MARIANA;133;@servicodoemail.com;mariana@servicodoemail.com
GABRIELA;101;@servicodoemail.com;gabriela@servicodoemail.com
VERA;309;@dominiodoemail.com.br;vera@dominiodoemail.com.br
VITORIA;311;@servicodoemail.com;vitoria@servicodoemail.com
LARISSA;321;@dominiodoemail.com.br;larissa@dominiodoemail.com.br
CLAUDIA;400;@servicodoemail.com;claudia@servicodoemail.com
BEATRIZ;236;@servicodoemail.com;beatriz@servicodoemail.com
RITA;86;@dominiodoemail.com.br;rita@dominiodoemail.com.br
LUANA;327;@dominiodoemail.com.br;luana@dominiodoemail.com.br
SONIA;302;@servicodoemail.com;sonia@servicodoemail.com
RENATA;267;@dominiodoemail.com.br;renata@dominiodoemail.com.br
ELIANE;111;@servicodoemail.com;eliane@servicodoemail.com
JOSEFA;336;@servicodoemail.com;josefa@servicodoemail.com
SIMONE;322;@servicodoemail.com;simone@servicodoemail.com
NATALIA;330;@servicodoemail.com;natalia@servicodoemail.com
CRISTIANE;152;@servicodoemail.com;cristiane@servicodoemail.com
CARLA;188;@servicodoemail.com;carla@servicodoemail.com
DEBORA;364;@dominiodoemail.com.br;debora@dominiodoemail.com.br
ROSANGELA;123;@dominiodoemail.com.br;rosangela@dominiodoemail.com.br
JAQUELINE;294;@dominiodoemail.com.br;jaqueline@dominiodoemail.com.br
ROSA;132;@dominiodoemail.com.br;rosa@dominiodoemail.com.br
APARECIDA;139;@servicodoemail.com;aparecida@servicodoemail.com
DANIELA;204;@servicodoemail.com;daniela@servicodoemail.com
MARLENE;93;@dominiodoemail.com.br;marlene@dominiodoemail.com.br
TEREZINHA;339;@servicodoemail.com;terezinha@servicodoemail.com
RAIMUNDA;318;@servicodoemail.com;raimunda@servicodoemail.com
ANDREIA;196;@servicodoemail.com;andreia@servicodoemail.com
FABIANA;63;@servicodoemail.com;fabiana@servicodoemail.com
LUCIA;210;@dominiodoemail.com.br;lucia@dominiodoemail.com.br
RAQUEL;384;@servicodoemail.com;raquel@servicodoemail.com
ANGELA;337;@servicodoemail.com;angela@servicodoemail.com
RAFAELA;183;@servicodoemail.com;rafaela@servicodoemail.com
JOANA;175;@servicodoemail.com;joana@servicodoemail.com
LUZIA;220;@dominiodoemail.com.br;luzia@dominiodoemail.com.br
ELAINE;356;@servicodoemail.com;elaine@servicodoemail.com
REGINA;164;@servicodoemail.com;regina@servicodoemail.com
DANIELE;186;@servicodoemail.com;daniele@servicodoemail.com
SUELI;46;@dominiodoemail.com.br;sueli@dominiodoemail.com.br
DAIANE;345;@dominiodoemail.com.br;daiane@dominiodoemail.com.br
ALESSANDRA;131;@servicodoemail.com;alessandra@servicodoemail.com
ISABEL;51;@dominiodoemail.com.br;isabel@dominiodoemail.com.br
SARA;98;@dominiodoemail.com.br;sara@dominiodoemail.com.br
BIANCA;198;@dominiodoemail.com.br;bianca@dominiodoemail.com.br
FLAVIA;216;@servicodoemail.com;flavia@servicodoemail.com
ERICA;239;@servicodoemail.com;erica@servicodoemail.com
VIVIANE;290;@servicodoemail.com;viviane@servicodoemail.com
SILVANA;395;@servicodoemail.com;silvana@servicodoemail.com
PRISCILA;348;@servicodoemail.com;priscila@servicodoemail.com
PAULA;64;@dominiodoemail.com.br;paula@dominiodoemail.com.br
LUIZA;283;@dominiodoemail.com.br;luiza@dominiodoemail.com.br
TEREZA;170;@dominiodoemail.com.br;tereza@dominiodoemail.com.br
ISABELA;248;@dominiodoemail.com.br;isabela@dominiodoemail.com.br
MARTA;258;@servicodoemail.com;marta@servicodoemail.com
CAROLINE;252;@dominiodoemail.com.br;caroline@dominiodoemail.com.br
JANAINA;270;@dominiodoemail.com.br;janaina@dominiodoemail.com.br
LAURA;355;@dominiodoemail.com.br;laura@dominiodoemail.com.br
MARLI;392;@servicodoemail.com;marli@servicodoemail.com
TATIANE;154;@servicodoemail.com;tatiane@servicodoemail.com
MARINA;360;@dominiodoemail.com.br;marina@dominiodoemail.com.br
SILVIA;41;@dominiodoemail.com.br;silvia@dominiodoemail.com.br
MONICA;307;@servicodoemail.com;monica@servicodoemail.com
TAIS;373;@servicodoemail.com;tais@servicodoemail.com
MICHELE;66;@servicodoemail.com;michele@servicodoemail.com
SOLANGE;207;@servicodoemail.com;solange@servicodoemail.com
EDNA;9;@dominiodoemail.com.br;edna@dominiodoemail.com.br
FATIMA;78;@servicodoemail.com;fatima@servicodoemail.com
HELENA;59;@servicodoemail.com;helena@servicodoemail.com
CRISTINA;251;@dominiodoemail.com.br;cristina@dominiodoemail.com.br
ALICE;120;@servicodoemail.com;alice@servicodoemail.com
CAROLINA;142;@servicodoemail.com;carolina@servicodoemail.com
ROSANA;89;@dominiodoemail.com.br;rosana@dominiodoemail.com.br
ANDRESSA;365;@servicodoemail.com;andressa@servicodoemail.com
CELIA;255;@servicodoemail.com;celia@servicodoemail.com
VALERIA;61;@servicodoemail.com;valeria@servicodoemail.com
ELIANA;257;@servicodoemail.com;eliana@servicodoemail.com
SABRINA;344;@dominiodoemail.com.br;sabrina@dominiodoemail.com.br
ANDREA;47;@dominiodoemail.com.br;andrea@dominiodoemail.com.br
TANIA;87;@servicodoemail.com;tania@servicodoemail.com
BARBARA;110;@servicodoemail.com;barbara@servicodoemail.com
THAIS;134;@dominiodoemail.com.br;thais@dominiodoemail.com.br
DENISE;17;@dominiodoemail.com.br;denise@dominiodoemail.com.br
ROSELI;194;@dominiodoemail.com.br;roseli@dominiodoemail.com.br
GISELE;363;@dominiodoemail.com.br;gisele@dominiodoemail.com.br
MARILENE;117;@servicodoemail.com;marilene@servicodoemail.com
KATIA;295;@servicodoemail.com;katia@servicodoemail.com
EVA;28;@servicodoemail.com;eva@servicodoemail.com
MILENA;141;@servicodoemail.com;milena@servicodoemail.com
EDUARDA;199;@dominiodoemail.com.br;eduarda@dominiodoemail.com.br
ELISANGELA;15;@dominiodoemail.com.br;elisangela@dominiodoemail.com.br
VILMA;88;@servicodoemail.com;vilma@servicodoemail.com
GEOVANA;266;@servicodoemail.com;geovana@servicodoemail.com
LUCIENE;263;@dominiodoemail.com.br;luciene@dominiodoemail.com.br
TAMIRES;223;@dominiodoemail.com.br;tamires@dominiodoemail.com.br
TATIANA;244;@dominiodoemail.com.br;tatiana@dominiodoemail.com.br
ROBERTA;260;@servicodoemail.com;roberta@servicodoemail.com
ELZA;320;@dominiodoemail.com.br;elza@dominiodoemail.com.br
TALITA;104;@dominiodoemail.com.br;talita@dominiodoemail.com.br
MARCELA;150;@servicodoemail.com;marcela@servicodoemail.com
PAMELA;140;@servicodoemail.com;pamela@servicodoemail.com
VANIA;68;@servicodoemail.com;vania@servicodoemail.com
IRENE;4;@servicodoemail.com;irene@servicodoemail.com
JOSIANE;57;@dominiodoemail.com.br;josiane@dominiodoemail.com.br
LIVIA;305;@dominiodoemail.com.br;livia@dominiodoemail.com.br
CINTIA;234;@dominiodoemail.com.br;cintia@dominiodoemail.com.br
IVONE;52;@servicodoemail.com;ivone@servicodoemail.com
LAIS;2;@dominiodoemail.com.br;lais@dominiodoemail.com.br
BENEDITA;19;@dominiodoemail.com.br;benedita@dominiodoemail.com.br
SEBASTIANA;269;@dominiodoemail.com.br;sebastiana@dominiodoemail.com.br
TAINA;374;@dominiodoemail.com.br;taina@dominiodoemail.com.br
JOICE;313;@servicodoemail.com;joice@servicodoemail.com
MIRIAN;26;@servicodoemail.com;mirian@servicodoemail.com
ELIZABETE;184;@servicodoemail.com;elizabete@servicodoemail.com
ANGELICA;187;@dominiodoemail.com.br;angelica@dominiodoemail.com.br
GABRIELE;44;@servicodoemail.com;gabriele@servicodoemail.com
BRENDA;130;@dominiodoemail.com.br;brenda@dominiodoemail.com.br
VERONICA;245;@servicodoemail.com;veronica@servicodoemail.com
ROSILENE;256;@dominiodoemail.com.br;rosilene@dominiodoemail.com.br
KARINA;271;@dominiodoemail.com.br;karina@dominiodoemail.com.br
NAIR;376;@servicodoemail.com;nair@servicodoemail.com
NEUSA;155;@servicodoemail.com;neusa@servicodoemail.com
MARGARIDA;71;@servicodoemail.com;margarida@servicodoemail.com
NEUZA;361;@dominiodoemail.com.br;neuza@dominiodoemail.com.br
NEIDE;159;@servicodoemail.com;neide@servicodoemail.com
RAISSA;378;@dominiodoemail.com.br;raissa@dominiodoemail.com.br
MAIARA;272;@dominiodoemail.com.br;maiara@dominiodoemail.com.br
LORENA;147;@servicodoemail.com;lorena@servicodoemail.com
FRANCIELE;206;@servicodoemail.com;franciele@servicodoemail.com
SAMARA;279;@servicodoemail.com;samara@servicodoemail.com
LILIAN;315;@servicodoemail.com;lilian@servicodoemail.com
JANETE;332;@dominiodoemail.com.br;janete@dominiodoemail.com.br
CICERA;65;@servicodoemail.com;cicera@servicodoemail.com
GIOVANA;326;@servicodoemail.com;giovana@servicodoemail.com
SEVERINA;393;@servicodoemail.com;severina@servicodoemail.com
LARA;169;@servicodoemail.com;lara@servicodoemail.com
CLEIDE;77;@servicodoemail.com;cleide@servicodoemail.com
NICOLE;291;@dominiodoemail.com.br;nicole@dominiodoemail.com.br
CECILIA;351;@dominiodoemail.com.br;cecilia@dominiodoemail.com.br
YASMIN;119;@dominiodoemail.com.br;yasmin@dominiodoemail.com.br
CONCEICAO;214;@dominiodoemail.com.br;conceicao@dominiodoemail.com.br
INGRID;354;@dominiodoemail.com.br;ingrid@dominiodoemail.com.br
SELMA;359;@dominiodoemail.com.br;selma@dominiodoemail.com.br
LEILA;181;@servicodoemail.com;leila@servicodoemail.com
RAIANE;349;@dominiodoemail.com.br;raiane@dominiodoemail.com.br
ESTER;100;@servicodoemail.com;ester@servicodoemail.com
REGIANE;362;@dominiodoemail.com.br;regiane@dominiodoemail.com.br
MARISA;136;@servicodoemail.com;marisa@servicodoemail.com
EUNICE;177;@dominiodoemail.com.br;eunice@dominiodoemail.com.br
KELLY;385;@servicodoemail.com;kelly@servicodoemail.com
TAINARA;85;@servicodoemail.com;tainara@servicodoemail.com
IARA;398;@servicodoemail.com;iara@servicodoemail.com
JOELMA;40;@servicodoemail.com;joelma@servicodoemail.com
MARINALVA;341;@servicodoemail.com;marinalva@servicodoemail.com
TERESINHA;3;@dominiodoemail.com.br;teresinha@dominiodoemail.com.br
REBECA;312;@servicodoemail.com;rebeca@servicodoemail.com
GERALDA;306;@dominiodoemail.com.br;geralda@dominiodoemail.com.br
CLEONICE;69;@servicodoemail.com;cleonice@servicodoemail.com
ALEXANDRA;209;@dominiodoemail.com.br;alexandra@dominiodoemail.com.br
MARA;388;@servicodoemail.com;mara@servicodoemail.com
JENIFER;254;@dominiodoemail.com.br;jenifer@dominiodoemail.com.br
ELIZANGELA;335;@dominiodoemail.com.br;elizangela@dominiodoemail.com.br
LILIANE;340;@dominiodoemail.com.br;liliane@dominiodoemail.com.br
LIDIA;112;@servicodoemail.com;lidia@servicodoemail.com
IRACEMA;225;@dominiodoemail.com.br;iracema@dominiodoemail.com.br
LIDIANE;33;@dominiodoemail.com.br;lidiane@dominiodoemail.com.br
IRACI;74;@dominiodoemail.com.br;iraci@dominiodoemail.com.br
MARILIA;48;@dominiodoemail.com.br;marilia@dominiodoemail.com.br
SHEILA;127;@dominiodoemail.com.br;sheila@dominiodoemail.com.br
INES;114;@servicodoemail.com;ines@servicodoemail.com
NAIARA;97;@dominiodoemail.com.br;naiara@dominiodoemail.com.br
POLIANA;226;@servicodoemail.com;poliana@servicodoemail.com
DALVA;215;@servicodoemail.com;dalva@servicodoemail.com
LURDES;58;@servicodoemail.com;lurdes@servicodoemail.com
TERESA;124;@servicodoemail.com;teresa@servicodoemail.com
ZILDA;107;@servicodoemail.com;zilda@servicodoemail.com
LUCILENE;84;@servicodoemail.com;lucilene@servicodoemail.com
CLARA;18;@servicodoemail.com;clara@servicodoemail.com
ROSANE;231;@dominiodoemail.com.br;rosane@dominiodoemail.com.br
IVONETE;99;@servicodoemail.com;ivonete@servicodoemail.com
LUCIANE;323;@dominiodoemail.com.br;luciane@dominiodoemail.com.br
ISADORA;383;@servicodoemail.com;isadora@servicodoemail.com
NILZA;366;@servicodoemail.com;nilza@servicodoemail.com
