;nome;ID_aluno;dominio;email;matricula
41;CLAUDIO;296;@servicodoemail.com;claudio@servicodoemail.com;1
42;MATHEUS;268;@servicodoemail.com;matheus@servicodoemail.com;2
43;THIAGO;158;@servicodoemail.com;thiago@servicodoemail.com;2
44;GERALDO;259;@dominiodoemail.com.br;geraldo@dominiodoemail.com.br;2
45;ADRIANO;37;@servicodoemail.com;adriano@servicodoemail.com;1
46;LUCIANO;358;@servicodoemail.com;luciano@servicodoemail.com;3
47;JULIO;241;@dominiodoemail.com.br;julio@dominiodoemail.com.br;2
48;RENATO;391;@servicodoemail.com;renato@servicodoemail.com;1
49;ALEX;249;@dominiodoemail.com.br;alex@dominiodoemail.com.br;2
50;VINICIUS;27;@dominiodoemail.com.br;vinicius@dominiodoemail.com.br;3
51;ROGERIO;102;@servicodoemail.com;rogerio@servicodoemail.com;2
52;SAMUEL;276;@dominiodoemail.com.br;samuel@dominiodoemail.com.br;1
53;RONALDO;233;@dominiodoemail.com.br;ronaldo@dominiodoemail.com.br;2
54;MARIO;281;@dominiodoemail.com.br;mario@dominiodoemail.com.br;3
55;FLAVIO;25;@dominiodoemail.com.br;flavio@dominiodoemail.com.br;1
56;DOUGLAS;14;@dominiodoemail.com.br;douglas@dominiodoemail.com.br;3
57;IGOR;303;@servicodoemail.com;igor@servicodoemail.com;1
58;DAVI;193;@servicodoemail.com;davi@servicodoemail.com;2
59;MANUEL;83;@dominiodoemail.com.br;manuel@dominiodoemail.com.br;1
60;JEFERSON;32;@servicodoemail.com;jeferson@servicodoemail.com;1
61;CICERO;21;@dominiodoemail.com.br;cicero@dominiodoemail.com.br;2
62;VICTOR;60;@servicodoemail.com;victor@servicodoemail.com;1
63;MIGUEL;228;@servicodoemail.com;miguel@servicodoemail.com;3
64;ROBSON;396;@servicodoemail.com;robson@servicodoemail.com;2
65;MAURICIO;278;@servicodoemail.com;mauricio@servicodoemail.com;4
66;DANILO;122;@servicodoemail.com;danilo@servicodoemail.com;2
67;HENRIQUE;212;@dominiodoemail.com.br;henrique@dominiodoemail.com.br;1
68;CAIO;108;@dominiodoemail.com.br;caio@dominiodoemail.com.br;1
69;REGINALDO;151;@servicodoemail.com;reginaldo@servicodoemail.com;3
70;JOAQUIM;73;@dominiodoemail.com.br;joaquim@dominiodoemail.com.br;2
71;BENEDITO;265;@dominiodoemail.com.br;benedito@dominiodoemail.com.br;1
72;GILBERTO;232;@servicodoemail.com;gilberto@servicodoemail.com;1
73;MARCO;53;@dominiodoemail.com.br;marco@dominiodoemail.com.br;1
74;ALAN;246;@dominiodoemail.com.br;alan@dominiodoemail.com.br;6
75;NELSON;180;@servicodoemail.com;nelson@servicodoemail.com;1
76;CRISTIANO;203;@servicodoemail.com;cristiano@servicodoemail.com;4
77;ELIAS;324;@servicodoemail.com;elias@servicodoemail.com;2
78;WILSON;115;@dominiodoemail.com.br;wilson@dominiodoemail.com.br;3
79;VALDIR;329;@dominiodoemail.com.br;valdir@dominiodoemail.com.br;3
80;EMERSON;179;@servicodoemail.com;emerson@servicodoemail.com;5
81;LUAN;253;@dominiodoemail.com.br;luan@dominiodoemail.com.br;2
82;DAVID;7;@servicodoemail.com;david@servicodoemail.com;3
83;RENAN;275;@dominiodoemail.com.br;renan@dominiodoemail.com.br;2
84;SEVERINO;126;@dominiodoemail.com.br;severino@dominiodoemail.com.br;2
85;FABRICIO;221;@dominiodoemail.com.br;fabricio@dominiodoemail.com.br;2
86;MAURO;381;@servicodoemail.com;mauro@servicodoemail.com;2
87;JONAS;273;@servicodoemail.com;jonas@servicodoemail.com;1
88;GILMAR;96;@servicodoemail.com;gilmar@servicodoemail.com;2
89;JEAN;166;@servicodoemail.com;jean@servicodoemail.com;3
90;FABIANO;213;@dominiodoemail.com.br;fabiano@dominiodoemail.com.br;1
91;WESLEY;367;@servicodoemail.com;wesley@servicodoemail.com;1
92;DIOGO;377;@dominiodoemail.com.br;diogo@dominiodoemail.com.br;1
93;ADILSON;372;@servicodoemail.com;adilson@servicodoemail.com;1
94;JAIR;1;@dominiodoemail.com.br;jair@dominiodoemail.com.br;1
95;ALESSANDRO;292;@dominiodoemail.com.br;alessandro@dominiodoemail.com.br;2
96;EVERTON;211;@dominiodoemail.com.br;everton@dominiodoemail.com.br;1
97;OSVALDO;201;@servicodoemail.com;osvaldo@servicodoemail.com;2
98;GILSON;148;@dominiodoemail.com.br;gilson@dominiodoemail.com.br;2
99;WILLIAN;39;@servicodoemail.com;willian@servicodoemail.com;1
100;JOEL;171;@servicodoemail.com;joel@servicodoemail.com;1
101;SILVIO;298;@servicodoemail.com;silvio@servicodoemail.com;2
102;HELIO;149;@dominiodoemail.com.br;helio@dominiodoemail.com.br;2
103;MAICON;145;@dominiodoemail.com.br;maicon@dominiodoemail.com.br;5
104;REINALDO;13;@servicodoemail.com;reinaldo@servicodoemail.com;4
105;PABLO;371;@dominiodoemail.com.br;pablo@dominiodoemail.com.br;1
106;ARTUR;342;@servicodoemail.com;artur@servicodoemail.com;2
107;VAGNER;56;@dominiodoemail.com.br;vagner@dominiodoemail.com.br;1
108;VALTER;31;@servicodoemail.com;valter@servicodoemail.com;1
109;CELSO;300;@servicodoemail.com;celso@servicodoemail.com;1
110;IVAN;22;@servicodoemail.com;ivan@servicodoemail.com;1
111;CLEITON;121;@servicodoemail.com;cleiton@servicodoemail.com;2
112;VANDERLEI;161;@dominiodoemail.com.br;vanderlei@dominiodoemail.com.br;1
113;VICENTE;143;@servicodoemail.com;vicente@servicodoemail.com;1
114;ARTHUR;380;@dominiodoemail.com.br;arthur@dominiodoemail.com.br;6
115;MILTON;94;@dominiodoemail.com.br;milton@dominiodoemail.com.br;1
116;DOMINGOS;261;@dominiodoemail.com.br;domingos@dominiodoemail.com.br;1
117;WAGNER;189;@servicodoemail.com;wagner@servicodoemail.com;1
118;SANDRO;285;@dominiodoemail.com.br;sandro@dominiodoemail.com.br;5
119;MOISES;190;@servicodoemail.com;moises@servicodoemail.com;4
120;EDILSON;178;@dominiodoemail.com.br;edilson@dominiodoemail.com.br;1
121;ADEMIR;106;@servicodoemail.com;ademir@servicodoemail.com;6
122;ADAO;6;@servicodoemail.com;adao@servicodoemail.com;3
123;EVANDRO;289;@dominiodoemail.com.br;evandro@dominiodoemail.com.br;2
124;CESAR;280;@dominiodoemail.com.br;cesar@dominiodoemail.com.br;5
125;VALMIR;20;@servicodoemail.com;valmir@servicodoemail.com;4
126;MURILO;30;@dominiodoemail.com.br;murilo@dominiodoemail.com.br;1
127;JULIANO;79;@dominiodoemail.com.br;juliano@dominiodoemail.com.br;2
128;EDVALDO;357;@servicodoemail.com;edvaldo@servicodoemail.com;2
129;AILTON;135;@servicodoemail.com;ailton@servicodoemail.com;1
130;JUNIOR;197;@servicodoemail.com;junior@servicodoemail.com;1
131;BRENO;370;@servicodoemail.com;breno@servicodoemail.com;1
132;NICOLAS;72;@servicodoemail.com;nicolas@servicodoemail.com;1
133;RUAN;95;@dominiodoemail.com.br;ruan@dominiodoemail.com.br;1
134;ALBERTO;274;@dominiodoemail.com.br;alberto@dominiodoemail.com.br;5
135;RUBENS;387;@servicodoemail.com;rubens@servicodoemail.com;1
136;NILTON;36;@servicodoemail.com;nilton@servicodoemail.com;2
137;AUGUSTO;129;@servicodoemail.com;augusto@servicodoemail.com;1
138;CLEBER;75;@dominiodoemail.com.br;cleber@dominiodoemail.com.br;9
139;OSMAR;54;@servicodoemail.com;osmar@servicodoemail.com;2
140;NILSON;23;@dominiodoemail.com.br;nilson@dominiodoemail.com.br;1
141;ORLANDO;325;@servicodoemail.com;orlando@servicodoemail.com;1
142;HUGO;286;@servicodoemail.com;hugo@servicodoemail.com;5
143;OTAVIO;301;@dominiodoemail.com.br;otavio@dominiodoemail.com.br;5
144;VINICIOS;91;@dominiodoemail.com.br;vinicios@dominiodoemail.com.br;2
145;ITALO;316;@dominiodoemail.com.br;italo@dominiodoemail.com.br;1
146;WILIAN;352;@dominiodoemail.com.br;wilian@dominiodoemail.com.br;1
147;ALISSON;397;@dominiodoemail.com.br;alisson@dominiodoemail.com.br;3
148;APARECIDO;334;@servicodoemail.com;aparecido@servicodoemail.com;4
149;ISRAEL;399;@dominiodoemail.com.br;israel@dominiodoemail.com.br;1
150;EDMILSON;176;@dominiodoemail.com.br;edmilson@dominiodoemail.com.br;1
151;JOSUE;5;@servicodoemail.com;josue@servicodoemail.com;1
152;GERSON;160;@dominiodoemail.com.br;gerson@dominiodoemail.com.br;1
153;CAUA;368;@dominiodoemail.com.br;caua@dominiodoemail.com.br;1
154;SIDNEI;182;@dominiodoemail.com.br;sidnei@dominiodoemail.com.br;5
155;EMANUEL;144;@dominiodoemail.com.br;emanuel@dominiodoemail.com.br;3
156;VALDEMAR;386;@servicodoemail.com;valdemar@servicodoemail.com;1
157;JAIME;153;@servicodoemail.com;jaime@servicodoemail.com;1
158;EDIVALDO;81;@servicodoemail.com;edivaldo@servicodoemail.com;2
159;ARNALDO;118;@servicodoemail.com;arnaldo@servicodoemail.com;3
160;MOACIR;157;@dominiodoemail.com.br;moacir@dominiodoemail.com.br;3
161;DAMIAO;247;@dominiodoemail.com.br;damiao@dominiodoemail.com.br;1
162;ISMAEL;202;@dominiodoemail.com.br;ismael@dominiodoemail.com.br;7
163;NIVALDO;308;@servicodoemail.com;nivaldo@servicodoemail.com;1
164;JAIRO;105;@servicodoemail.com;jairo@servicodoemail.com;2
165;ISAIAS;62;@dominiodoemail.com.br;isaias@dominiodoemail.com.br;2
166;MICHEL;109;@servicodoemail.com;michel@servicodoemail.com;6
167;ANGELO;128;@dominiodoemail.com.br;angelo@dominiodoemail.com.br;2
168;CRISTIAN;82;@dominiodoemail.com.br;cristian@dominiodoemail.com.br;2
169;WELLINGTON;394;@dominiodoemail.com.br;wellington@dominiodoemail.com.br;2
170;ALEXANDRO;243;@dominiodoemail.com.br;alexandro@dominiodoemail.com.br;3
171;VALDEMIR;45;@servicodoemail.com;valdemir@servicodoemail.com;1
172;WANDERSON;165;@dominiodoemail.com.br;wanderson@dominiodoemail.com.br;1
173;JAILSON;314;@dominiodoemail.com.br;jailson@dominiodoemail.com.br;5
174;DENIS;90;@dominiodoemail.com.br;denis@dominiodoemail.com.br;2
175;RIAN;317;@dominiodoemail.com.br;rian@dominiodoemail.com.br;1
176;CELIO;375;@dominiodoemail.com.br;celio@dominiodoemail.com.br;1
177;CLAUDINEI;353;@servicodoemail.com;claudinei@servicodoemail.com;3
178;DENILSON;250;@servicodoemail.com;denilson@servicodoemail.com;1
179;IAGO;299;@dominiodoemail.com.br;iago@dominiodoemail.com.br;3
180;EDER;167;@dominiodoemail.com.br;eder@dominiodoemail.com.br;1
181;YURI;168;@dominiodoemail.com.br;yuri@dominiodoemail.com.br;3
182;CHARLES;389;@dominiodoemail.com.br;charles@dominiodoemail.com.br;1
183;MARLON;8;@servicodoemail.com;marlon@servicodoemail.com;1
184;ALISON;282;@servicodoemail.com;alison@servicodoemail.com;1
185;JONATAN;116;@dominiodoemail.com.br;jonatan@dominiodoemail.com.br;1
186;ERIC;319;@servicodoemail.com;eric@servicodoemail.com;5
187;ELTON;229;@dominiodoemail.com.br;elton@dominiodoemail.com.br;4
188;VALDECIR;369;@dominiodoemail.com.br;valdecir@dominiodoemail.com.br;1
189;WESLEI;137;@dominiodoemail.com.br;weslei@dominiodoemail.com.br;1
190;NATANAEL;346;@servicodoemail.com;natanael@servicodoemail.com;1
191;ERICK;264;@dominiodoemail.com.br;erick@dominiodoemail.com.br;1
192;AGNALDO;237;@servicodoemail.com;agnaldo@servicodoemail.com;1
193;KAUAN;146;@dominiodoemail.com.br;kauan@dominiodoemail.com.br;1
194;ODAIR;277;@servicodoemail.com;odair@servicodoemail.com;3
195;WALTER;227;@dominiodoemail.com.br;walter@dominiodoemail.com.br;1
196;ARLINDO;222;@dominiodoemail.com.br;arlindo@dominiodoemail.com.br;4
197;MICHAEL;50;@servicodoemail.com;michael@servicodoemail.com;9
198;ALVARO;38;@servicodoemail.com;alvaro@servicodoemail.com;1
199;GEOVANE;35;@dominiodoemail.com.br;geovane@dominiodoemail.com.br;2
0;MARIA;331;@servicodoemail.com;maria@servicodoemail.com;3
1;ANA;24;@dominiodoemail.com.br;ana@dominiodoemail.com.br;5
2;FRANCISCA;205;@dominiodoemail.com.br;francisca@dominiodoemail.com.br;1
3;ANTONIA;382;@dominiodoemail.com.br;antonia@dominiodoemail.com.br;2
4;ADRIANA;230;@dominiodoemail.com.br;adriana@dominiodoemail.com.br;1
5;JULIANA;11;@dominiodoemail.com.br;juliana@dominiodoemail.com.br;4
6;MARCIA;67;@dominiodoemail.com.br;marcia@dominiodoemail.com.br;1
7;FERNANDA;29;@servicodoemail.com;fernanda@servicodoemail.com;2
8;PATRICIA;208;@servicodoemail.com;patricia@servicodoemail.com;8
9;ALINE;390;@dominiodoemail.com.br;aline@dominiodoemail.com.br;2
10;SANDRA;125;@servicodoemail.com;sandra@servicodoemail.com;1
11;CAMILA;219;@servicodoemail.com;camila@servicodoemail.com;2
12;AMANDA;162;@dominiodoemail.com.br;amanda@dominiodoemail.com.br;2
13;BRUNA;195;@servicodoemail.com;bruna@servicodoemail.com;2
14;JESSICA;138;@servicodoemail.com;jessica@servicodoemail.com;1
15;LETICIA;293;@dominiodoemail.com.br;leticia@dominiodoemail.com.br;4
16;JULIA;224;@servicodoemail.com;julia@servicodoemail.com;2
17;LUCIANA;113;@dominiodoemail.com.br;luciana@dominiodoemail.com.br;1
18;VANESSA;70;@servicodoemail.com;vanessa@servicodoemail.com;2
19;MARIANA;133;@servicodoemail.com;mariana@servicodoemail.com;1
20;GABRIELA;101;@servicodoemail.com;gabriela@servicodoemail.com;1
21;VERA;309;@dominiodoemail.com.br;vera@dominiodoemail.com.br;2
22;VITORIA;311;@servicodoemail.com;vitoria@servicodoemail.com;3
23;LARISSA;321;@dominiodoemail.com.br;larissa@dominiodoemail.com.br;3
24;CLAUDIA;400;@servicodoemail.com;claudia@servicodoemail.com;1
25;BEATRIZ;236;@servicodoemail.com;beatriz@servicodoemail.com;2
26;RITA;86;@dominiodoemail.com.br;rita@dominiodoemail.com.br;2
27;LUANA;327;@dominiodoemail.com.br;luana@dominiodoemail.com.br;1
28;SONIA;302;@servicodoemail.com;sonia@servicodoemail.com;6
29;RENATA;267;@dominiodoemail.com.br;renata@dominiodoemail.com.br;1
30;ELIANE;111;@servicodoemail.com;eliane@servicodoemail.com;1
31;JOSEFA;336;@servicodoemail.com;josefa@servicodoemail.com;2
32;SIMONE;322;@servicodoemail.com;simone@servicodoemail.com;2
33;NATALIA;330;@servicodoemail.com;natalia@servicodoemail.com;1
34;CRISTIANE;152;@servicodoemail.com;cristiane@servicodoemail.com;1
35;CARLA;188;@servicodoemail.com;carla@servicodoemail.com;2
36;DEBORA;364;@dominiodoemail.com.br;debora@dominiodoemail.com.br;4
37;ROSANGELA;123;@dominiodoemail.com.br;rosangela@dominiodoemail.com.br;3
38;JAQUELINE;294;@dominiodoemail.com.br;jaqueline@dominiodoemail.com.br;1
39;ROSA;132;@dominiodoemail.com.br;rosa@dominiodoemail.com.br;1
40;APARECIDA;139;@servicodoemail.com;aparecida@servicodoemail.com;2
41;DANIELA;204;@servicodoemail.com;daniela@servicodoemail.com;3
42;MARLENE;93;@dominiodoemail.com.br;marlene@dominiodoemail.com.br;2
43;TEREZINHA;339;@servicodoemail.com;terezinha@servicodoemail.com;2
44;RAIMUNDA;318;@servicodoemail.com;raimunda@servicodoemail.com;2
45;ANDREIA;196;@servicodoemail.com;andreia@servicodoemail.com;3
46;FABIANA;63;@servicodoemail.com;fabiana@servicodoemail.com;2
47;LUCIA;210;@dominiodoemail.com.br;lucia@dominiodoemail.com.br;4
48;RAQUEL;384;@servicodoemail.com;raquel@servicodoemail.com;5
49;ANGELA;337;@servicodoemail.com;angela@servicodoemail.com;4
50;RAFAELA;183;@servicodoemail.com;rafaela@servicodoemail.com;3
51;JOANA;175;@servicodoemail.com;joana@servicodoemail.com;1
52;LUZIA;220;@dominiodoemail.com.br;luzia@dominiodoemail.com.br;1
53;ELAINE;356;@servicodoemail.com;elaine@servicodoemail.com;1
54;REGINA;164;@servicodoemail.com;regina@servicodoemail.com;2
55;DANIELE;186;@servicodoemail.com;daniele@servicodoemail.com;1
56;SUELI;46;@dominiodoemail.com.br;sueli@dominiodoemail.com.br;3
57;DAIANE;345;@dominiodoemail.com.br;daiane@dominiodoemail.com.br;1
58;ALESSANDRA;131;@servicodoemail.com;alessandra@servicodoemail.com;3
59;ISABEL;51;@dominiodoemail.com.br;isabel@dominiodoemail.com.br;2
60;SARA;98;@dominiodoemail.com.br;sara@dominiodoemail.com.br;3
61;BIANCA;198;@dominiodoemail.com.br;bianca@dominiodoemail.com.br;1
62;FLAVIA;216;@servicodoemail.com;flavia@servicodoemail.com;2
63;ERICA;239;@servicodoemail.com;erica@servicodoemail.com;2
64;VIVIANE;290;@servicodoemail.com;viviane@servicodoemail.com;6
65;SILVANA;395;@servicodoemail.com;silvana@servicodoemail.com;3
66;PRISCILA;348;@servicodoemail.com;priscila@servicodoemail.com;2
67;PAULA;64;@dominiodoemail.com.br;paula@dominiodoemail.com.br;1
68;LUIZA;283;@dominiodoemail.com.br;luiza@dominiodoemail.com.br;4
69;TEREZA;170;@dominiodoemail.com.br;tereza@dominiodoemail.com.br;1
70;ISABELA;248;@dominiodoemail.com.br;isabela@dominiodoemail.com.br;2
71;MARTA;258;@servicodoemail.com;marta@servicodoemail.com;5
72;CAROLINE;252;@dominiodoemail.com.br;caroline@dominiodoemail.com.br;1
73;JANAINA;270;@dominiodoemail.com.br;janaina@dominiodoemail.com.br;1
74;LAURA;355;@dominiodoemail.com.br;laura@dominiodoemail.com.br;3
75;MARLI;392;@servicodoemail.com;marli@servicodoemail.com;3
76;TATIANE;154;@servicodoemail.com;tatiane@servicodoemail.com;1
77;MARINA;360;@dominiodoemail.com.br;marina@dominiodoemail.com.br;1
78;SILVIA;41;@dominiodoemail.com.br;silvia@dominiodoemail.com.br;1
79;MONICA;307;@servicodoemail.com;monica@servicodoemail.com;7
80;TAIS;373;@servicodoemail.com;tais@servicodoemail.com;3
81;MICHELE;66;@servicodoemail.com;michele@servicodoemail.com;4
82;SOLANGE;207;@servicodoemail.com;solange@servicodoemail.com;2
83;EDNA;9;@dominiodoemail.com.br;edna@dominiodoemail.com.br;1
84;FATIMA;78;@servicodoemail.com;fatima@servicodoemail.com;1
85;HELENA;59;@servicodoemail.com;helena@servicodoemail.com;1
86;CRISTINA;251;@dominiodoemail.com.br;cristina@dominiodoemail.com.br;4
87;ALICE;120;@servicodoemail.com;alice@servicodoemail.com;5
88;CAROLINA;142;@servicodoemail.com;carolina@servicodoemail.com;3
89;ROSANA;89;@dominiodoemail.com.br;rosana@dominiodoemail.com.br;1
90;ANDRESSA;365;@servicodoemail.com;andressa@servicodoemail.com;1
91;CELIA;255;@servicodoemail.com;celia@servicodoemail.com;1
92;VALERIA;61;@servicodoemail.com;valeria@servicodoemail.com;1
93;ELIANA;257;@servicodoemail.com;eliana@servicodoemail.com;2
94;SABRINA;344;@dominiodoemail.com.br;sabrina@dominiodoemail.com.br;1
95;ANDREA;47;@dominiodoemail.com.br;andrea@dominiodoemail.com.br;1
96;TANIA;87;@servicodoemail.com;tania@servicodoemail.com;1
97;BARBARA;110;@servicodoemail.com;barbara@servicodoemail.com;2
98;THAIS;134;@dominiodoemail.com.br;thais@dominiodoemail.com.br;1
99;DENISE;17;@dominiodoemail.com.br;denise@dominiodoemail.com.br;1
100;ROSELI;194;@dominiodoemail.com.br;roseli@dominiodoemail.com.br;1
101;GISELE;363;@dominiodoemail.com.br;gisele@dominiodoemail.com.br;1
102;MARILENE;117;@servicodoemail.com;marilene@servicodoemail.com;2
103;KATIA;295;@servicodoemail.com;katia@servicodoemail.com;1
104;EVA;28;@servicodoemail.com;eva@servicodoemail.com;3
105;MILENA;141;@servicodoemail.com;milena@servicodoemail.com;4
106;EDUARDA;199;@dominiodoemail.com.br;eduarda@dominiodoemail.com.br;2
107;ELISANGELA;15;@dominiodoemail.com.br;elisangela@dominiodoemail.com.br;1
108;VILMA;88;@servicodoemail.com;vilma@servicodoemail.com;7
109;GEOVANA;266;@servicodoemail.com;geovana@servicodoemail.com;1
110;LUCIENE;263;@dominiodoemail.com.br;luciene@dominiodoemail.com.br;2
111;TAMIRES;223;@dominiodoemail.com.br;tamires@dominiodoemail.com.br;2
112;TATIANA;244;@dominiodoemail.com.br;tatiana@dominiodoemail.com.br;1
113;ROBERTA;260;@servicodoemail.com;roberta@servicodoemail.com;1
114;ELZA;320;@dominiodoemail.com.br;elza@dominiodoemail.com.br;6
115;TALITA;104;@dominiodoemail.com.br;talita@dominiodoemail.com.br;1
116;MARCELA;150;@servicodoemail.com;marcela@servicodoemail.com;1
117;PAMELA;140;@servicodoemail.com;pamela@servicodoemail.com;1
118;VANIA;68;@servicodoemail.com;vania@servicodoemail.com;1
119;IRENE;4;@servicodoemail.com;irene@servicodoemail.com;3
120;JOSIANE;57;@dominiodoemail.com.br;josiane@dominiodoemail.com.br;1
121;LIVIA;305;@dominiodoemail.com.br;livia@dominiodoemail.com.br;1
122;CINTIA;234;@dominiodoemail.com.br;cintia@dominiodoemail.com.br;1
123;IVONE;52;@servicodoemail.com;ivone@servicodoemail.com;3
124;LAIS;2;@dominiodoemail.com.br;lais@dominiodoemail.com.br;6
125;BENEDITA;19;@dominiodoemail.com.br;benedita@dominiodoemail.com.br;1
126;SEBASTIANA;269;@dominiodoemail.com.br;sebastiana@dominiodoemail.com.br;2
127;TAINA;374;@dominiodoemail.com.br;taina@dominiodoemail.com.br;1
128;JOICE;313;@servicodoemail.com;joice@servicodoemail.com;2
129;MIRIAN;26;@servicodoemail.com;mirian@servicodoemail.com;1
130;ELIZABETE;184;@servicodoemail.com;elizabete@servicodoemail.com;4
131;ANGELICA;187;@dominiodoemail.com.br;angelica@dominiodoemail.com.br;1
132;GABRIELE;44;@servicodoemail.com;gabriele@servicodoemail.com;5
133;BRENDA;130;@dominiodoemail.com.br;brenda@dominiodoemail.com.br;2
134;VERONICA;245;@servicodoemail.com;veronica@servicodoemail.com;1
135;ROSILENE;256;@dominiodoemail.com.br;rosilene@dominiodoemail.com.br;2
136;KARINA;271;@dominiodoemail.com.br;karina@dominiodoemail.com.br;1
137;NAIR;376;@servicodoemail.com;nair@servicodoemail.com;1
138;NEUSA;155;@servicodoemail.com;neusa@servicodoemail.com;1
139;MARGARIDA;71;@servicodoemail.com;margarida@servicodoemail.com;5
140;NEUZA;361;@dominiodoemail.com.br;neuza@dominiodoemail.com.br;2
141;NEIDE;159;@servicodoemail.com;neide@servicodoemail.com;3
142;RAISSA;378;@dominiodoemail.com.br;raissa@dominiodoemail.com.br;1
143;MAIARA;272;@dominiodoemail.com.br;maiara@dominiodoemail.com.br;2
144;LORENA;147;@servicodoemail.com;lorena@servicodoemail.com;2
145;FRANCIELE;206;@servicodoemail.com;franciele@servicodoemail.com;6
146;SAMARA;279;@servicodoemail.com;samara@servicodoemail.com;2
147;LILIAN;315;@servicodoemail.com;lilian@servicodoemail.com;1
148;JANETE;332;@dominiodoemail.com.br;janete@dominiodoemail.com.br;1
149;CICERA;65;@servicodoemail.com;cicera@servicodoemail.com;1
150;GIOVANA;326;@servicodoemail.com;giovana@servicodoemail.com;1
151;SEVERINA;393;@servicodoemail.com;severina@servicodoemail.com;1
152;LARA;169;@servicodoemail.com;lara@servicodoemail.com;3
153;CLEIDE;77;@servicodoemail.com;cleide@servicodoemail.com;3
154;NICOLE;291;@dominiodoemail.com.br;nicole@dominiodoemail.com.br;1
155;CECILIA;351;@dominiodoemail.com.br;cecilia@dominiodoemail.com.br;5
156;YASMIN;119;@dominiodoemail.com.br;yasmin@dominiodoemail.com.br;2
157;CONCEICAO;214;@dominiodoemail.com.br;conceicao@dominiodoemail.com.br;2
158;INGRID;354;@dominiodoemail.com.br;ingrid@dominiodoemail.com.br;1
159;SELMA;359;@dominiodoemail.com.br;selma@dominiodoemail.com.br;2
160;LEILA;181;@servicodoemail.com;leila@servicodoemail.com;4
161;RAIANE;349;@dominiodoemail.com.br;raiane@dominiodoemail.com.br;2
162;ESTER;100;@servicodoemail.com;ester@servicodoemail.com;6
163;REGIANE;362;@dominiodoemail.com.br;regiane@dominiodoemail.com.br;2
164;MARISA;136;@servicodoemail.com;marisa@servicodoemail.com;3
165;EUNICE;177;@dominiodoemail.com.br;eunice@dominiodoemail.com.br;1
166;KELLY;385;@servicodoemail.com;kelly@servicodoemail.com;2
